start_id,link_rel,end_id
http://www.gbif.org/occurrence/886898690,refers,http://n2t.net/ark:/65665/34629176f-1a72-4714-b23b-b77bf730bcd9
doi:10.1016/j.ympev.2010.06.005,refers,USNM 533614
doi:10.1016/j.ympev.2010.06.005,refers,HM229524
doi:10.1016/j.ympev.2010.06.005,refers,HM229480
doi:10.1016/j.ympev.2010.06.005,refers,HM229568
doi:10.1016/j.ympev.2010.06.005,refers,HM229612
doi:10.1016/j.ympev.2010.06.005,refers,HM229656
http://www.ncbi.nlm.nih.gov/nuccore/300430440/,refers,USNM:Herp:533614
http://www.ncbi.nlm.nih.gov/nuccore/300430352/,refers,USNM:Herp:533614
http://www.ncbi.nlm.nih.gov/nuccore/300430528/,refers,USNM:Herp:533614
http://www.ncbi.nlm.nih.gov/nuccore/300430616/,refers,USNM:Herp:533614
http://www.ncbi.nlm.nih.gov/nuccore/300430704/,refers,USNM:Herp:533614
